,Time,Temperature (ø F),Dew Point (ø F),Humidity (%),Wind Speed (mph),Pressure (Hg),,,FOG PREDICT
3601,22-03-2020,76.5,57.2,53.8,4.5,29.1,,,19.3
3602,23-03-2020,76.9,54.5,49.5,3.3,29.1,,,22.4
3603,24-03-2020,73.9,60,63.9,4.3,29,,,13.9
3604,25-03-2020,76.6,59.3,58.1,5,29,,,17.3
3605,26-03-2020,73.2,61,66.5,6.7,29.1,,,12.2
3606,27-03-2020,69.3,61.1,77.1,5.3,29.1,,,8.2
3607,28-03-2020,71.8,58.4,64.7,6.8,29.1,,,13.4
3608,29-03-2020,74.8,56.2,55,8.3,29.1,,,18.6
3609,30-03-2020,73.3,53.2,52.4,6.6,29.1,,,20.1
3610,31-03-2020,78.2,52.5,44.6,6.9,29,,,25.7
3611,01-04-2020,75.9,56.9,55.5,6.3,29,,,19
3612,02-04-2020,75.8,52.2,46.3,8.8,29,,,23.6
3613,03-04-2020,74.8,48.8,43.1,5,29.1,,,26
3614,04-04-2020,76.4,50.1,43.2,4.4,29.1,,,26.3
3615,05-04-2020,79.6,55.3,45.9,3.8,29.1,,,24.3
3616,06-04-2020,83.7,55.1,40,5.8,29,,,28.6
3617,07-04-2020,79.4,53.5,42.9,8,29,,,25.9
3618,08-04-2020,80.2,49.5,35.3,7.6,29,,,30.7
3619,09-04-2020,78.7,49.8,38.3,4.8,29,,,28.9
3620,10-04-2020,83.4,49.6,33.3,3.3,29.1,,,33.8
3621,11-04-2020,85.7,50.2,31.3,6.1,29.1,,,35.5
3622,12-04-2020,84.7,53.6,36.1,5.3,29,,,31.1
3623,13-04-2020,87,55.4,36.4,4.5,28.9,,,31.6
3624,14-04-2020,89.9,55,32.6,3,29,,,34.9
3625,15-04-2020,89.4,45.9,25,4,28.9,,,43.5
3626,16-04-2020,89.4,54.3,31.6,6.4,28.9,,,35.1
3627,17-04-2020,87.3,55.6,35.7,6.7,28.9,,,31.7
3628,18-04-2020,83.2,55.8,42,7,28.9,,,27.4
3629,19-04-2020,83.2,56.7,43.2,4,28.9,,,26.5
3630,20-04-2020,79.9,54.9,44.2,4.5,29,,,25
3631,21-04-2020,83.3,52.6,36.9,4.3,29,,,30.7
3632,22-04-2020,85.6,52.6,33.3,3.5,28.9,,,33
3633,23-04-2020,84.1,53.3,36.2,3.8,28.9,,,30.8
3634,24-04-2020,86.5,55.1,35.9,3,28.9,,,31.4
3635,25-04-2020,87.2,55.7,35.8,5.5,28.9,,,31.5
3636,26-04-2020,74.8,61.4,64.3,7.8,29,,,13.4
3637,27-04-2020,80.8,62.1,55.9,10,29,,,18.7
3638,28-04-2020,84.3,64.2,52,4,29,,,20.1
3639,29-04-2020,87.7,64.9,48.6,4.9,28.9,,,22.8
3640,30-04-2020,90.8,64.1,42.8,4.4,28.9,,,26.7
3641,01-05-2020,88.7,66.7,50.9,7.7,28.9,,,22
3642,02-05-2020,82.7,66,58,12.1,28.9,,,16.7
3643,03-05-2020,79.7,66.2,64.3,6.8,28.9,,,13.5
3644,04-05-2020,83.9,65,54.9,3.5,28.9,,,18.9
3645,05-05-2020,87.7,62.1,44.3,5,28.9,,,25.6
3646,06-05-2020,85.3,57.8,40.5,5.3,28.9,,,27.5
3647,07-05-2020,87.1,55.7,37.3,5.5,28.9,,,31.4
3648,08-05-2020,90.5,60,40,5.4,28.9,,,30.5
3649,09-05-2020,92.5,65.4,43.7,6.3,28.9,,,27.1
3650,10-05-2020,80.9,62.3,53.8,8.4,28.9,,,18.6
3651,11-05-2020,86.1,64.5,49.8,7,28.9,,,21.6
3652,12-05-2020,88.8,64.3,45.9,5.2,28.9,,,24.5
3653,13-05-2020,86.4,65,50,3.8,28.9,,,21.4
3654,14-05-2020,87.5,64.1,48.1,6.1,28.9,,,23.4
3655,15-05-2020,90.2,58.8,36.1,7.4,28.9,,,31.4
3656,16-05-2020,91.4,54.6,31.3,5.3,28.8,,,36.8
3657,17-05-2020,90.1,54.2,32.5,3.5,28.8,,,35.9
3658,18-05-2020,91.9,48.2,25.4,4.7,28.8,,,43.7
3659,19-05-2020,93.6,48.7,22.4,3.7,28.8,,,44.9
3660,20-05-2020,93.1,43.9,18.7,7.1,28.8,,,49.2
3661,21-05-2020,94.8,44.3,19.3,5.5,28.7,,,50.5
3662,22-05-2020,98.4,47.5,19,3.6,28.7,,,50.9
3663,23-05-2020,100.3,46.6,17.1,6.5,28.8,,,53.7
3664,24-05-2020,100.2,47.6,18.2,6.3,28.8,,,52.6
3665,25-05-2020,99.3,51.2,21.4,4.8,28.8,,,48.1
3666,26-05-2020,101.2,48.5,18.3,7,28.7,,,52.7
3667,27-05-2020,100.5,52.6,22.6,8.3,28.7,,,47.9
3668,28-05-2020,89.8,65.1,47.1,10.7,28.7,,,24.7
3669,29-05-2020,84,67.2,59.6,8.7,28.8,,,16.8
3670,30-05-2020,82.9,69.1,65.4,8.5,28.9,,,13.8
3671,31-05-2020,78.7,69.1,73.5,9.1,28.9,,,9.6
